,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
26,PAR1,Boosting,0.5355537414965986,0.0798292429816703,0.5163809523809524,2.037376575469971,AE50
27,PAR1,KNN,0.5493038548752834,0.0787372275999376,0.5361904761904761,0.1941039371490478,AE50
28,PAR1,LogisticRegression,0.5864244897959184,0.0797011764477917,0.5523809523809524,0.1730189323425293,AE50
29,PAR1,SVM,0.4228725623582767,0.0815298767782858,0.5372380952380953,0.1903627395629882,AE50
30,PAR2,RandomForest,0.6147294489611563,0.0704568357383773,0.6136345012903397,6.1759843921661375,AE50
31,PAR2,Boosting,0.6036725731359877,0.0624056957655081,0.615016628089499,2.9328573513031007,AE50
32,PAR2,KNN,0.5771445521506496,0.074278544106514,0.6040279884002447,0.2272907924652099,AE50
33,PAR2,LogisticRegression,0.638760162601626,0.0732281938792649,0.6136262537579482,0.1952242851257324,AE50
34,PAR2,SVM,0.615707855604197,0.0619083690089763,0.6149272354803522,0.319671459197998,AE50
35,PAR3,RandomForest,0.5838699901824902,0.0579132643067737,0.6225919627256843,7.18945167541504,AE50
36,PAR3,Boosting,0.583309691903442,0.0418341885223237,0.6036002329644728,4.206823034286499,AE50
37,PAR3,KNN,0.5680950926888427,0.0451993244731494,0.615070316443409,0.2642192840576172,AE50
38,PAR3,LogisticRegression,0.6715377396627398,0.0412609923570246,0.6726966414288488,0.2311715698242187,AE50
39,PAR3,SVM,0.645180865962116,0.0501260191975335,0.6343368666278393,0.5245174312591553,AE50
40,HIV,RandomForest,0.704211519047872,0.0691119596289072,0.8371976788265826,6.092245769500733,AE50
41,HIV,Boosting,0.705453659918885,0.0605579445542592,0.8234157408217421,2.6430724334716795,AE50
42,HIV,KNN,0.7188108141614862,0.080512166418802,0.7971094975651009,0.2341326236724853,AE50
43,HIV,LogisticRegression,0.6505895896427749,0.0672114343928493,0.8354751115387979,0.1887225341796875,AE50
44,HIV,SVM,0.6691475833731824,0.0698119929199578,0.7880298603213484,0.2831432342529297,AE50
45,CDI,RandomForest,0.7721766967020726,0.0510486700175145,0.7317468805704098,6.194388723373413,AE50
46,CDI,Boosting,0.7768300214822772,0.0602056397409028,0.7490730837789661,2.8401768970489503,AE50
47,CDI,KNN,0.745301000517166,0.0638765472427009,0.7352762923351159,0.2336126708984375,AE50
48,CDI,LogisticRegression,0.8005828559493975,0.0646928145240808,0.7602495543672014,0.2130475902557373,AE50
49,CDI,SVM,0.7650109649122808,0.0664439542646034,0.7395008912655971,0.2949059295654297,AE50
50,OB,RandomForest,0.7471299533799535,0.0664781810737997,0.7922556390977445,5.936210651397705,AE50
51,OB,Boosting,0.7540268065268064,0.0741843423659447,0.7894360902255638,2.627129020690918,AE50
52,OB,KNN,0.6922989510489511,0.0636846354459056,0.7717042606516291,0.2201695251464843,AE50
53,OB,LogisticRegression,0.7057808857808858,0.0786540613874299,0.7572556390977444,0.1950037860870361,AE50
54,OB,SVM,0.7128146853146853,0.0959853213427413,0.7594862155388471,0.2853837585449219,AE50
55,CIR,RandomForest,0.4650545454545454,0.1736894354347279,0.6174117647058823,5.185842638015747,AE50
56,CIR,Boosting,0.6033939393939395,0.1798119617761736,0.6257254901960784,1.765235652923584,AE50
57,CIR,KNN,0.4329333333333334,0.1213878641121879,0.5887058823529412,0.1828810882568359,AE50
58,CIR,LogisticRegression,0.5343272727272727,0.1039745508171632,0.6061176470588235,0.1750791645050048,AE50
59,CIR,SVM,0.5112727272727272,0.1872318872797181,0.6174117647058823,0.1623562908172607,AE50
60,IBD1,RandomForest,0.7205824175824176,0.1249503686036061,0.7584520123839009,5.253777809143067,AE50
61,IBD1,Boosting,0.6549010989010989,0.1439366583709389,0.6974544203646371,1.7656357383728027,AE50
62,IBD1,KNN,0.6887802197802197,0.1322966864101914,0.7196078431372548,0.1898424911499023,AE50
63,IBD1,LogisticRegression,0.6868131868131868,0.1037957316974492,0.7167595459236327,0.1729186344146728,AE50
64,IBD1,SVM,0.69810989010989,0.0995503815602128,0.7447265221878225,0.1638366222381591,AE50
65,IBD2,RandomForest,0.60402442002442,0.1140829433235522,0.5988208168642951,5.361761999130249,AE50
