"","Dataset","Model","FS_Method","RA","CLR","logRA","PA"
"190","CDI","Boosting","RF100",0.920572562358277,0.893553825038787,0.915356546127223,0.897759577515216
"191","CDI","Boosting","RF50",0.919789354338226,0.893967358873374,0.907441818832796,0.890811851056212
"192","CDI","Boosting","VAE",0.688457751521661,0.825450033814696,0.641126277996579,0.812377222818952
"193","CDI","KNN","AE100",0.741715399610137,0.8443850698174,0.761630489915264,0.810018697537495
"194","CDI","KNN","AE50",0.745301000517166,0.849391733301508,0.722047131718184,0.82624343597088
"195","CDI","KNN","LASSO",0.647353353622151,0.865526017424514,0.870028344671202,0.898191460794844
"196","CDI","KNN","MIFS100",0.7096850757847,0.867646198830409,0.83405731590882,0.879443250984604
"197","CDI","KNN","MIFS50",0.745044456379043,0.855999075068624,0.859465329991646,0.89640873015873
"198","CDI","KNN","mRMR100",0.731938327962764,0.835090106217926,0.835035505430242,0.866174066117675
"199","CDI","KNN","mRMR50",0.718994808449696,0.840951784222461,0.85062999761308,0.872316803914548
"200","CDI","KNN","Relief100",0.748234425349087,0.862763605442177,0.818965717866094,0.847225056689342
"201","CDI","KNN","Relief50",0.755909863945578,0.859762501491825,0.829009875880177,0.846119614512472
"202","CDI","KNN","RF100",0.760392946652345,0.851307882802244,0.836792427497315,0.876049797111827
"203","CDI","KNN","RF50",0.786198979591837,0.850513486096193,0.840992361857023,0.879656432748538
"204","CDI","KNN","VAE",0.681373746867168,0.816385283645622,0.636742202729045,0.773429506305446
"205","CDI","LogisticRegression","AE100",0.804696214743207,0.887803039344393,0.868553725583801,0.883634284123006
"206","CDI","LogisticRegression","AE50",0.800582855949397,0.886947080001591,0.77823223733938,0.886936935592951
"207","CDI","LogisticRegression","LASSO",0.783837271750806,0.915209153836973,0.910040577634562,0.912925170068027
"208","CDI","LogisticRegression","MIFS100",0.837669769662251,0.912416159446235,0.902197159565581,0.908525778732546
"209","CDI","LogisticRegression","MIFS50",0.839725802601742,0.904874388351832,0.907078708676453,0.905276584317938
"210","CDI","LogisticRegression","mRMR100",0.851790488125075,0.902217448382862,0.89718462823726,0.903140589569161
"211","CDI","LogisticRegression","mRMR50",0.868335571070533,0.896769304212913,0.898265902852369,0.892670068027211
"212","CDI","LogisticRegression","Relief100",0.853173111349803,0.910729203962287,0.904495464852608,0.895864661654135
