Dataset,Model,AUC,Method,Normalization
IBD2,RandomForest,0.6391595441595441,RareQ5,TSS
MHE,RandomForest,0.7472,RareQ5,TSS
OB,RandomForest,0.8791283039453772,RareQ5,TSS
PAR1,RandomForest,0.6886101517530089,RareQ5,TSS
PAR2,RandomForest,0.7345012145748987,RareQ5,TSS
PAR3,RandomForest,0.7722551608986037,RareQ5,TSS
ART,RandomForest,0.6910122549019608,RareQ5,TSS
CDI,SVM,0.8203907662355722,RareQ5,TSS
CIR,SVM,0.4716444444444445,RareQ5,TSS
CRC1,SVM,0.650419799050644,RareQ5,TSS
CRC2,SVM,0.67360101010101,RareQ5,TSS
CD1,SVM,0.7060252525252525,RareQ5,TSS
CD2,SVM,0.6597578347578348,RareQ5,TSS
HIV,SVM,0.7659197166469893,RareQ5,TSS
IBD1,SVM,0.6629230769230768,RareQ5,TSS
IBD2,SVM,0.4728133903133903,RareQ5,TSS
MHE,SVM,0.3984,RareQ5,TSS
OB,SVM,0.8762531235701968,RareQ5,TSS
PAR1,SVM,0.4155489272632129,RareQ5,TSS
PAR2,SVM,0.6056720647773279,RareQ5,TSS
PAR3,SVM,0.6120684578020643,RareQ5,TSS
ART,SVM,0.5433676470588236,RareQ5,TSS
CDI,Boosting,0.9198564864542308,None,CLR
CIR,Boosting,0.7424787878787878,None,CLR
CRC1,Boosting,0.6747793343289652,None,CLR
CRC2,Boosting,0.6698451178451178,None,CLR
CD1,Boosting,0.7767852564102564,None,CLR
CD2,Boosting,0.8050363087205192,None,CLR
HIV,Boosting,0.740375555673627,None,CLR
IBD1,Boosting,0.7755164835164835,None,CLR
IBD2,Boosting,0.6447130647130648,None,CLR
MHE,Boosting,0.7432121212121211,None,CLR
OB,Boosting,0.8032925407925408,None,CLR
PAR1,Boosting,0.6522412698412698,None,CLR
PAR2,Boosting,0.7224141824751581,None,CLR
PAR3,Boosting,0.7697119427119427,None,CLR
ART,Boosting,0.5882614379084967,None,CLR
CDI,KNN,0.7522878625134263,None,CLR
CIR,KNN,0.5308363636363637,None,CLR
CRC1,KNN,0.570541925215428,None,CLR
CRC2,KNN,0.6134646464646465,None,CLR
CD1,KNN,0.6077115384615385,None,CLR
CD2,KNN,0.7005160336739283,None,CLR
HIV,KNN,0.6765913961355224,None,CLR
IBD1,KNN,0.6805659340659342,None,CLR
IBD2,KNN,0.6745641025641025,None,CLR
MHE,KNN,0.6714545454545454,None,CLR
OB,KNN,0.8303787878787879,None,CLR
PAR1,KNN,0.5189079365079364,None,CLR
PAR2,KNN,0.5453712389688,None,CLR
PAR3,KNN,0.6247041320166321,None,CLR
ART,KNN,0.4831895424836601,None,CLR
CDI,LogisticRegression,0.917062000238692,None,CLR
CIR,LogisticRegression,0.814739393939394,None,CLR
CRC1,LogisticRegression,0.6650893193944876,None,CLR
CRC2,LogisticRegression,0.7959932659932661,None,CLR
CD1,LogisticRegression,0.8252724358974359,None,CLR
CD2,LogisticRegression,0.8229021271126533,None,CLR
HIV,LogisticRegression,0.825718877849211,None,CLR
IBD1,LogisticRegression,0.8313956043956044,None,CLR
IBD2,LogisticRegression,0.6683369963369964,None,CLR
MHE,LogisticRegression,0.783490909090909,None,CLR
OB,LogisticRegression,0.9122727272727272,None,CLR
PAR1,LogisticRegression,0.6805714285714286,None,CLR
PAR2,LogisticRegression,0.7628913209644916,None,CLR
PAR3,LogisticRegression,0.7843857703857704,None,CLR
ART,LogisticRegression,0.643921568627451,None,CLR
CDI,RandomForest,0.8357906671440506,None,CLR
CIR,RandomForest,0.7501454545454547,None,CLR
CRC1,RandomForest,0.6456769279849673,None,CLR
CRC2,RandomForest,0.6873299663299663,None,CLR
CD1,RandomForest,0.6429983974358975,None,CLR
CD2,RandomForest,0.7425862733757471,None,CLR
HIV,RandomForest,0.6582227742061173,None,CLR
IBD1,RandomForest,0.7447252747252748,None,CLR
IBD2,RandomForest,0.5937289377289378,None,CLR
MHE,RandomForest,0.7373454545454546,None,CLR
OB,RandomForest,0.7879283216783217,None,CLR
PAR1,RandomForest,0.6271365079365079,None,CLR
PAR2,RandomForest,0.6393682683621709,None,CLR
PAR3,RandomForest,0.7114425386925386,None,CLR
ART,RandomForest,0.5517908496732026,None,CLR
CDI,SVM,0.9145102339181288,None,CLR
CIR,SVM,0.7968727272727273,None,CLR
CRC1,SVM,0.6619605112779845,None,CLR
CRC2,SVM,0.7507205387205387,None,CLR
CD1,SVM,0.8162820512820513,None,CLR
CD2,SVM,0.816621682411156,None,CLR
HIV,SVM,0.7903269397658644,None,CLR
IBD1,SVM,0.8356593406593406,None,CLR
IBD2,SVM,0.6343296703296702,None,CLR
MHE,SVM,0.818909090909091,None,CLR
OB,SVM,0.923997668997669,None,CLR
PAR1,SVM,0.5422857142857143,None,CLR
PAR2,SVM,0.7625844972552289,None,CLR
PAR3,SVM,0.7824380341880343,None,CLR
ART,SVM,0.5489150326797385,None,CLR
CDI,Boosting,0.8836224489795919,Rare,CLR
CIR,Boosting,0.5466545454545454,Rare,CLR
CRC1,Boosting,0.6747793343289652,Rare,CLR
CRC2,Boosting,0.6167340067340068,Rare,CLR
CD1,Boosting,0.7729102564102565,Rare,CLR
CD2,Boosting,0.7328298309877258,Rare,CLR
HIV,Boosting,0.6552075695588262,Rare,CLR
IBD1,Boosting,0.7242747252747254,Rare,CLR
IBD2,Boosting,0.600043956043956,Rare,CLR
MHE,Boosting,0.5635272727272728,Rare,CLR
OB,Boosting,0.645696386946387,Rare,CLR
PAR1,Boosting,0.5975746031746031,Rare,CLR
PAR2,Boosting,0.7229452782989368,Rare,CLR
PAR3,Boosting,0.7714307288057287,Rare,CLR
ART,Boosting,0.6696732026143792,Rare,CLR
CDI,KNN,0.6976981143334526,Rare,CLR
CIR,KNN,0.4820121212121212,Rare,CLR
CRC1,KNN,0.570541925215428,Rare,CLR
CRC2,KNN,0.526074074074074,Rare,CLR
CD1,KNN,0.6824855769230769,Rare,CLR
CD2,KNN,0.6579573934837092,Rare,CLR
HIV,KNN,0.6353115757221544,Rare,CLR
IBD1,KNN,0.5983461538461539,Rare,CLR
IBD2,KNN,0.568954822954823,Rare,CLR
MHE,KNN,0.5085454545454546,Rare,CLR
OB,KNN,0.5057692307692307,Rare,CLR
PAR1,KNN,0.5312571428571429,Rare,CLR
PAR2,KNN,0.6021794698075186,Rare,CLR
PAR3,KNN,0.613201258951259,Rare,CLR
ART,KNN,0.4881830065359477,Rare,CLR
CDI,LogisticRegression,0.8993403150733978,Rare,CLR
CIR,LogisticRegression,0.5767030303030303,Rare,CLR
CRC1,LogisticRegression,0.6650893193944876,Rare,CLR
CRC2,LogisticRegression,0.7975420875420874,Rare,CLR
CD1,LogisticRegression,0.8201057692307693,Rare,CLR
CD2,LogisticRegression,0.7881106612685561,Rare,CLR
HIV,LogisticRegression,0.755324637373147,Rare,CLR
IBD1,LogisticRegression,0.8410219780219781,Rare,CLR
IBD2,LogisticRegression,0.6204395604395605,Rare,CLR
MHE,LogisticRegression,0.6304727272727273,Rare,CLR
OB,LogisticRegression,0.7351340326340324,Rare,CLR
PAR1,LogisticRegression,0.6860571428571428,Rare,CLR
PAR2,LogisticRegression,0.7401987700646236,Rare,CLR
PAR3,LogisticRegression,0.7774534823284823,Rare,CLR
ART,LogisticRegression,0.6589803921568628,Rare,CLR
CDI,RandomForest,0.8191936686955483,Rare,CLR
CIR,RandomForest,0.4903575757575757,Rare,CLR
CRC1,RandomForest,0.6456769279849673,Rare,CLR
CRC2,RandomForest,0.6315185185185185,Rare,CLR
CD1,RandomForest,0.668076923076923,Rare,CLR
CD2,RandomForest,0.6755729066255383,Rare,CLR
HIV,RandomForest,0.6907644829357277,Rare,CLR
IBD1,RandomForest,0.7154725274725275,Rare,CLR
IBD2,RandomForest,0.5862100122100122,Rare,CLR
MHE,RandomForest,0.5691939393939394,Rare,CLR
OB,RandomForest,0.5461946386946387,Rare,CLR
PAR1,RandomForest,0.5123555555555556,Rare,CLR
PAR2,RandomForest,0.6655372281286915,Rare,CLR
PAR3,RandomForest,0.7120705128205128,Rare,CLR
ART,RandomForest,0.5505490196078431,Rare,CLR
CDI,SVM,0.9010359231411864,Rare,CLR
CIR,SVM,0.5691636363636364,Rare,CLR
CRC1,SVM,0.6619605112779845,Rare,CLR
CRC2,SVM,0.770040404040404,Rare,CLR
CD1,SVM,0.8114727564102564,Rare,CLR
CD2,SVM,0.7892667566351775,Rare,CLR
HIV,SVM,0.7897656872642261,Rare,CLR
IBD1,SVM,0.8518021978021977,Rare,CLR
IBD2,SVM,0.501885225885226,Rare,CLR
MHE,SVM,0.5678181818181818,Rare,CLR
OB,SVM,0.7322261072261073,Rare,CLR
PAR1,SVM,0.5397968253968254,Rare,CLR
PAR2,SVM,0.7395827774303383,Rare,CLR
PAR3,SVM,0.7816535718410718,Rare,CLR
ART,SVM,0.587843137254902,Rare,CLR
CDI,Boosting,0.9105659247973008,RareQ5,CLR
CIR,Boosting,0.5133777777777778,RareQ5,CLR
CRC1,Boosting,0.6747793343289652,RareQ5,CLR
CRC2,Boosting,0.7308282828282828,RareQ5,CLR
CD1,Boosting,0.7239545454545454,RareQ5,CLR
