,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
352,PAR3,KNN,0.6841335325710327,0.0596665439822179,0.6516909337992622,5.247511978149414,Relief100
353,PAR3,LogisticRegression,0.7146946754446755,0.0533377477402546,0.6777518928363425,6.4399251461029055,Relief100
354,PAR3,SVM,0.7083924693924694,0.0483011628936186,0.6662473306154145,4.190211181640625,Relief100
355,HIV,RandomForest,0.6905804243486885,0.0742121842827904,0.8320000000000001,2566.7748520088194,Relief100
356,HIV,Boosting,0.6665937428050228,0.0753758802485171,0.8154285714285714,5.763790321350098,Relief100
357,HIV,KNN,0.6483080955670085,0.0852039123988132,0.8268571428571428,5.860269327163696,Relief100
358,HIV,LogisticRegression,0.6935680888369374,0.0727849011426474,0.8257142857142857,7.229414167404175,Relief100
359,HIV,SVM,0.6648868285425854,0.0668433853155033,0.8211428571428572,4.603214750289917,Relief100
360,OB,RandomForest,0.7690617715617715,0.077868965116857,0.7936215538847118,798.6723023986816,Relief100
361,OB,Boosting,0.776095571095571,0.0758693849470752,0.7885588972431077,2.7263544940948488,Relief100
362,OB,KNN,0.720743006993007,0.0937083931069837,0.7851002506265664,2.4680721950531006,Relief100
363,OB,LogisticRegression,0.7805069930069931,0.0728207888990107,0.8071177944862156,3.0747858333587645,Relief100
364,OB,SVM,0.8032459207459207,0.0847573923786978,0.8128070175438595,1.9646499061584477,Relief100
365,CDI,RandomForest,0.8954863348848312,0.0331006135135538,0.8297541703248463,636.2970627498627,Relief100
366,CDI,Boosting,0.8994155030433226,0.0260576789106836,0.8405443371378403,2.462923107147217,Relief100
367,CDI,KNN,0.8627636054421768,0.0414915010695039,0.7976997366110622,1.415753870010376,Relief100
368,CDI,LogisticRegression,0.9107292039622866,0.0278315576778908,0.8554082528533802,1.753540153503418,Relief100
369,CDI,SVM,0.8879884234395513,0.0393982731938152,0.8226514486391572,1.1707952499389649,Relief100
370,CIR,RandomForest,0.7896848484848483,0.1076788231842769,0.7538333333333334,37.43602626800537,Relief100
371,CIR,Boosting,0.7067757575757576,0.1397813556998413,0.7406666666666666,1.1932636642456054,Relief100
372,CIR,KNN,0.6523151515151515,0.1163380221177337,0.6703333333333333,1.11353328704834,Relief100
373,CIR,LogisticRegression,0.7410060606060606,0.1308010137477108,0.7193333333333334,1.382434139251709,Relief100
374,CIR,SVM,0.7728121212121212,0.1259542826676173,0.733,0.9080608654022216,Relief100
375,IBD1,RandomForest,0.7763076923076924,0.1033143625307354,0.7847953216374269,40.14698915481567,Relief100
376,IBD1,Boosting,0.7690109890109889,0.095770003086166,0.7826900584795321,1.102579689025879,Relief100
377,IBD1,KNN,0.7221978021978022,0.1335042107596034,0.7408187134502923,1.010373649597168,Relief100
378,IBD1,LogisticRegression,0.795956043956044,0.1049129321989976,0.7739181286549708,1.25731294631958,Relief100
